,Date,SELIC_META,IPCA,SELIC,IND_DESMP,IPCA_ALIMENTOS,IC-Br Agropecuária,PIB,DIVIDA_EXTERNA,USD/BRL,USD/BRL_var_mensal_pct,CL=F_var_mensal_pct,FED
0,2004-02-29,16.5,0.61,0.05994,,0.15,102.04,141654.7,152530.5,2.9138,-0.9214866197422511,9.409986935382953,1.01
1,2004-03-31,16.25,0.47,0.059291,,0.43,106.19,160673.9,150254.75,2.9086,-0.17846111606830695,-1.1061989147312823,1.0
2,2004-04-30,16.0,0.37,0.058229,,-0.34,108.5,159113.9,140809.68,2.9447,1.2411469435467115,4.530209235514793,1.0
3,2004-05-31,16.0,0.51,0.05816,,0.23,118.01,160112.1,151100.02,3.1291,6.262098006588102,6.688068294713001,1.0
4,2004-06-30,16.0,0.71,0.058229,,0.72,118.21,162569.0,150047.4,3.1075,-0.6902943338340295,-7.096293267949094,1.03
5,2004-07-31,16.0,0.91,0.058298,,0.67,110.68,168216.4,146751.92,3.0268,-2.596942880128683,18.218623856942152,1.26
6,2004-08-31,16.0,0.69,0.058606,,0.85,107.24,168068.5,143758.07,2.9338,-3.0725518699616594,-3.8356172019160195,1.43
7,2004-09-30,16.25,0.33,0.059735,,-0.19,105.4,168967.4,140466.58,2.8586,-2.5632285772718366,17.85375272664369,1.61
8,2004-10-31,16.75,0.44,0.061439,,-0.23,103.36,174390.5,143250.48,2.8565,-0.07346253410762671,4.270747296437016,1.76
9,2004-11-30,17.25,0.69,0.063035,,-0.01,101.83,178012.0,137971.88,2.7307,-4.40399089795207,-5.08113859873105,1.93
10,2004-12-31,17.75,0.86,0.06486,,0.65,102.07,173518.0,125117.24,2.6544,-2.794155344783411,-11.561164627903974,2.16
11,2005-01-31,18.25,0.58,0.066509,,0.78,101.36,161646.6,116833.6,2.6248,-1.1151295961422725,10.93210567685765,2.28
12,2005-02-28,18.75,0.59,0.068184,,0.49,98.74,159966.7,106382.96,2.595,-1.1353245961597591,7.3651435287737765,2.5
13,2005-03-31,19.25,0.61,0.069886,,0.26,106.39,178097.1,99051.6,2.6662,2.743737957610781,7.053143045176635,2.63
14,2005-04-30,19.5,0.87,0.070718,,0.81,99.59,177918.1,92510.02,2.5313,-5.059635436201382,-10.25270784969653,2.79
15,2005-05-31,19.75,0.49,0.071581,,0.65,94.57,178129.5,89300.29,2.4038,-5.036937541974451,4.525341803618277,3.0
16,2005-06-30,19.75,-0.02,0.071515,,-0.67,91.39,179509.8,84367.09,2.3504,-2.221482652466933,8.716564696735606,3.04
17,2005-07-31,19.75,0.25,0.071515,,-0.77,90.03,181673.2,80358.45,2.3905,1.7060925799863735,7.203539282874716,3.26
18,2005-08-31,19.75,0.17,0.071481,,-0.73,89.02,186712.8,79660.45,2.3637,-1.1211043714704494,13.818726743855759,3.5
19,2005-09-30,19.5,0.35,0.070818,,-0.25,89.04,184473.1,74752.33,2.2222,-5.986377289842181,-3.916455587496559,3.62
20,2005-10-31,19.0,0.75,0.068886,,0.27,92.41,192948.2,64103.06,2.2543,1.4445144451445069,-9.782608320071539,3.78
21,2005-11-30,18.5,0.55,0.067481,,0.88,92.02,196419.8,54062.93,2.207,-2.0982123053719604,-4.082996477979794,4.0
22,2005-12-31,18.0,0.36,0.06587,,0.27,100.0,193089.5,46793.32,2.3407,6.0579972813774585,6.489883531941176,4.16
23,2006-01-31,17.25,0.59,0.063102,,0.11,104.78,181707.7,35166.3,2.216,-5.327466142606907,11.27129284113073,4.29
24,2006-02-28,17.25,0.41,0.063305,,-0.28,101.56,176988.5,27958.16,2.1355,-3.632671480144367,-9.584803440866008,4.49
25,2006-03-31,16.5,0.43,0.060758,,-0.24,96.26,195574.3,20050.39,2.1724,1.7279325684851798,8.50024005695522,4.59
26,2006-04-30,15.75,0.21,0.057886,,-0.27,95.82,188585.8,12785.19,2.0892,-3.829865586448178,7.879333958295609,4.79
27,2006-05-31,15.75,0.1,0.057749,,-0.03,99.45,198731.5,2228.35,2.3005,10.113919203522848,-0.8208074018291267,4.94
28,2006-06-30,15.25,-0.21,0.056097,,-0.61,101.78,194659.5,986.56,2.1643,-5.920452075635763,3.7733236174224194,4.99
29,2006-07-31,14.75,0.19,0.054301,,0.09,102.3,203488.6,-9269.37,2.1762,0.5498313542484867,0.5677185048491129,5.24
30,2006-08-31,14.25,0.05,0.052635,,0.07,97.67,208799.8,-19425.87,2.1388,-1.7185920411726952,-5.564515194543917,5.25
31,2006-09-30,14.25,0.21,0.0526,,0.08,95.09,205559.3,-23487.93,2.1742,1.6551337198429383,-10.461147260666303,5.25
32,2006-10-31,13.75,0.33,0.050893,,0.88,95.15,219035.0,-33409.76,2.143,-1.435010578603657,-6.644413154211337,5.25
33,2006-11-30,13.25,0.31,0.049143,,1.05,99.86,220981.6,-42230.5,2.1668,1.11059262715818,7.491914796823029,5.25
