Date,IPCA,SELIC,SELIC_META,IND_DESMP,IPCA_ALIMENTOS,IC-Br Agropecuária,PIB,DIVIDA_EXTERNA,USD/BRL
2004-01-01,0.76,,16.5,,0.88,99.53,142455.0,154073.0,
2004-01-02,,0.060076,16.5,,,,,,2.8862
2004-01-03,,,16.5,,,,,,
2004-01-04,,,16.5,,,,,,
2004-01-05,,0.060076,16.5,,,,,,2.8627
2004-01-06,,0.060076,16.5,,,,,,2.8508
2004-01-07,,0.060042,16.5,,,,,,2.8723
2004-01-08,,0.060042,16.5,,,,,,2.8588
2004-01-09,,0.060008,16.5,,,,,,2.8422
2004-01-10,,,16.5,,,,,,
2004-01-11,,,16.5,,,,,,
2004-01-12,,0.060008,16.5,,,,,,2.8163
2004-01-13,,0.060008,16.5,,,,,,2.8022
2004-01-14,,0.059974,16.5,,,,,,2.8142
2004-01-15,,0.059974,16.5,,,,,,2.8126
2004-01-16,,0.05994,16.5,,,,,,2.8184
2004-01-17,,,16.5,,,,,,
2004-01-18,,,16.5,,,,,,
2004-01-19,,0.05994,16.5,,,,,,2.8419
2004-01-20,,0.05994,16.5,,,,,,2.8382
2004-01-21,,0.059871,16.5,,,,,,2.8417
2004-01-22,,0.060042,16.5,,,,,,2.8417
2004-01-23,,0.060042,16.5,,,,,,2.8435
2004-01-24,,,16.5,,,,,,
2004-01-25,,,16.5,,,,,,
2004-01-26,,0.060042,16.5,,,,,,2.8431
2004-01-27,,0.060008,16.5,,,,,,2.8587
2004-01-28,,0.060008,16.5,,,,,,2.8785
2004-01-29,,0.05994,16.5,,,,,,2.9236
2004-01-30,,0.059906,16.5,,,,,,2.9409
2004-01-31,,,16.5,,,,,,
2004-02-01,0.61,,16.5,,0.15,102.04,141654.7,152530.5,
2004-02-02,,0.059906,16.5,,,,,,2.9486
2004-02-03,,0.059906,16.5,,,,,,2.9326
2004-02-04,,0.059871,16.5,,,,,,2.9106
2004-02-05,,0.059871,16.5,,,,,,2.9335
2004-02-06,,0.059837,16.5,,,,,,2.95
2004-02-07,,,16.5,,,,,,
2004-02-08,,,16.5,,,,,,
2004-02-09,,0.059837,16.5,,,,,,2.9341
2004-02-10,,0.059803,16.5,,,,,,2.9198
2004-02-11,,0.059837,16.5,,,,,,2.9253
2004-02-12,,0.059906,16.5,,,,,,2.9042
2004-02-13,,0.060008,16.5,,,,,,2.9085
2004-02-14,,,16.5,,,,,,
2004-02-15,,,16.5,,,,,,
2004-02-16,,0.060042,16.5,,,,,,2.9066
2004-02-17,,0.060042,16.5,,,,,,2.9125
2004-02-18,,0.060042,16.5,,,,,,2.9296
2004-02-19,,0.060042,16.5,,,,,,2.9509
2004-02-20,,0.060008,16.5,,,,,,2.9878
2004-02-21,,,16.5,,,,,,
2004-02-22,,,16.5,,,,,,
2004-02-23,,,16.5,,,,,,
2004-02-24,,,16.5,,,,,,
2004-02-25,,0.060008,16.5,,,,,,2.9403
2004-02-26,,0.059974,16.5,,,,,,2.9369
2004-02-27,,0.05994,16.5,,,,,,2.9138
2004-02-28,,,16.5,,,,,,
2004-02-29,,,16.5,,,,,,
2004-03-01,0.47,0.059906,16.5,,0.43,106.19,160673.9,150254.75,2.8945
2004-03-02,,0.059906,16.5,,,,,,2.9086
2004-03-03,,0.059871,16.5,,,,,,2.8812
2004-03-04,,0.059837,16.5,,,,,,2.8878
2004-03-05,,0.05994,16.5,,,,,,2.879
2004-03-06,,,16.5,,,,,,
2004-03-07,,,16.5,,,,,,
2004-03-08,,0.059906,16.5,,,,,,2.8752
2004-03-09,,0.059906,16.5,,,,,,2.8758
2004-03-10,,0.059871,16.5,,,,,,2.8891
2004-03-11,,0.059837,16.5,,,,,,2.9132
2004-03-12,,0.059803,16.5,,,,,,2.9063
2004-03-13,,,16.5,,,,,,
2004-03-14,,,16.5,,,,,,
2004-03-15,,0.059769,16.5,,,,,,2.9013
2004-03-16,,0.059735,16.5,,,,,,2.9001
2004-03-17,,0.059701,16.5,,,,,,2.907
2004-03-18,,0.058983,16.25,,,,,,2.9135
2004-03-19,,0.059085,16.25,,,,,,2.9
2004-03-20,,,16.25,,,,,,
2004-03-21,,,16.25,,,,,,
2004-03-22,,0.059222,16.25,,,,,,2.9107
2004-03-23,,0.059325,16.25,,,,,,2.9144
2004-03-24,,0.059291,16.25,,,,,,2.9264
2004-03-25,,0.059256,16.25,,,,,,2.9337
2004-03-26,,0.059291,16.25,,,,,,2.941
2004-03-27,,,16.25,,,,,,
2004-03-28,,,16.25,,,,,,
2004-03-29,,0.059222,16.25,,,,,,2.9365
2004-03-30,,0.059154,16.25,,,,,,2.9216
2004-03-31,,0.059291,16.25,,,,,,2.9086
2004-04-01,0.37,0.059256,16.25,,-0.34,108.5,159113.9,140809.68,2.8904
2004-04-02,,0.059291,16.25,,,,,,2.893
2004-04-03,,,16.25,,,,,,
2004-04-04,,,16.25,,,,,,
2004-04-05,,0.059291,16.25,,,,,,2.8851
2004-04-06,,0.059256,16.25,,,,,,2.8743
2004-04-07,,0.059256,16.25,,,,,,2.8773
2004-04-08,,0.059222,16.25,,,,,,2.8802
2004-04-09,,,16.25,,,,,,
2004-04-10,,,16.25,,,,,,
2004-04-11,,,16.25,,,,,,
2004-04-12,,0.059222,16.25,,,,,,2.8855
2004-04-13,,0.059188,16.25,,,,,,2.8851
2004-04-14,,0.059119,16.25,,,,,,2.8956
2004-04-15,,0.058435,16.0,,,,,,2.9064
2004-04-16,,0.058435,16.0,,,,,,2.9153
2004-04-17,,,16.0,,,,,,
2004-04-18,,,16.0,,,,,,
2004-04-19,,0.058503,16.0,,,,,,2.9101
2004-04-20,,0.058503,16.0,,,,,,2.9186
2004-04-21,,,16.0,,,,,,
2004-04-22,,0.058435,16.0,,,,,,2.9305
2004-04-23,,0.0584,16.0,,,,,,2.9173
2004-04-24,,,16.0,,,,,,
2004-04-25,,,16.0,,,,,,
2004-04-26,,0.058366,16.0,,,,,,2.9085
2004-04-27,,0.058332,16.0,,,,,,2.9161
2004-04-28,,0.058298,16.0,,,,,,2.9335
2004-04-29,,0.058229,16.0,,,,,,2.9522
2004-04-30,,0.058229,16.0,,,,,,2.9447
2004-05-01,0.51,,16.0,,0.23,118.01,160112.1,151100.02,
2004-05-02,,,16.0,,,,,,
2004-05-03,,0.058195,16.0,,,,,,2.9569
2004-05-04,,0.058195,16.0,,,,,,2.9696
2004-05-05,,0.05816,16.0,,,,,,2.9616
2004-05-06,,0.058126,16.0,,,,,,2.9899
2004-05-07,,0.058092,16.0,,,,,,3.0504
2004-05-08,,,16.0,,,,,,
2004-05-09,,,16.0,,,,,,
2004-05-10,,0.058058,16.0,,,,,,3.1249
2004-05-11,,0.058023,16.0,,,,,,3.1051
2004-05-12,,0.057989,16.0,,,,,,3.1211
2004-05-13,,0.058023,16.0,,,,,,3.1279
2004-05-14,,0.058126,16.0,,,,,,3.0982
2004-05-15,,,16.0,,,,,,
2004-05-16,,,16.0,,,,,,
2004-05-17,,0.058092,16.0,,,,,,3.122
2004-05-18,,0.058058,16.0,,,,,,3.1169
2004-05-19,,0.057989,16.0,,,,,,3.1059
2004-05-20,,0.058126,16.0,,,,,,3.1813
